127.0.0.1, 2015-11-19 13:46:16, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2015-11-19 13:46:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-11-19 13:46:16, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-19 13:46:36, GET, /start/default/index, HTTP/1.1, 303, 0.038000
127.0.0.1, 2015-11-19 13:46:36, GET, /start/default/user/login, HTTP/1.1, 200, 0.058000
127.0.0.1, 2015-11-19 13:46:36, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-19 13:46:48, POST, /start/default/user/login, HTTP/1.1, 303, 0.084000
127.0.0.1, 2015-11-19 13:46:48, GET, /start/default/index, HTTP/1.1, 200, 0.042000
127.0.0.1, 2015-11-19 13:46:48, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-19 13:46:49, POST, /start/default/load_messages, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-11-19 13:46:49, GET, /start/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-19 13:47:39, POST, /start/default/add_msg, HTTP/1.1, 200, 0.218000
127.0.0.1, 2015-11-19 13:50:15, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2015-11-19 13:50:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-11-19 13:50:15, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-19 13:50:28, GET, /start/default/index, HTTP/1.1, 200, 0.038000
127.0.0.1, 2015-11-19 13:50:28, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-11-19 13:50:28, POST, /start/default/load_messages, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-11-19 22:45:46, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-11-19 22:45:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.503000
127.0.0.1, 2015-11-19 22:45:47, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.053000
127.0.0.1, 2015-11-19 22:45:56, GET, /start/default/index, HTTP/1.1, 303, 0.179000
127.0.0.1, 2015-11-19 22:45:57, GET, /start/default/user/login, HTTP/1.1, 200, 0.194000
127.0.0.1, 2015-11-19 22:45:57, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2015-11-19 22:45:57, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.130000
127.0.0.1, 2015-11-19 22:45:57, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.043000
127.0.0.1, 2015-11-19 22:46:17, POST, /start/default/user/login, HTTP/1.1, 303, 0.120000
127.0.0.1, 2015-11-19 22:46:17, GET, /start/default/index, HTTP/1.1, 200, 0.240000
127.0.0.1, 2015-11-19 22:46:18, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-11-19 22:46:21, GET, /start/static/font-awesome-4.4.0/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.054000
127.0.0.1, 2015-11-19 22:46:21, POST, /start/default/load_messages, HTTP/1.1, 200, 0.193000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/default/index, HTTP/1.1, 200, 0.091000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.081000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.076000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.059000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.114000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.055000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.056000
127.0.0.1, 2015-11-19 22:46:35, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.111000
127.0.0.1, 2015-11-19 22:46:36, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.081000
127.0.0.1, 2015-11-19 22:46:36, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-19 22:46:36, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-11-19 22:46:36, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.095000
127.0.0.1, 2015-11-19 22:46:36, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.096000
127.0.0.1, 2015-11-19 22:46:36, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.204000
127.0.0.1, 2015-11-19 22:46:36, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.157000
127.0.0.1, 2015-11-19 22:46:38, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.075000
127.0.0.1, 2015-11-19 22:46:38, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.073000
127.0.0.1, 2015-11-19 22:46:38, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.075000
127.0.0.1, 2015-11-19 22:46:38, POST, /start/default/load_messages, HTTP/1.1, 200, 0.124000
